voltage,time,height
7.5,1102.5,0.1307
7.5,1103.5,0.1307
7.5,1104.5,0.1307
7.5,1105.5,0.1307
7.5,1106.5,0.1307
7.5,1107.5,0.1307
7.5,1108.6,0.1307
7.5,1109.6,0.1307
7.5,1110.6,0.1307
7.5,1111.6,0.1307
7.5,1112.6,0.135
7.5,1113.6,0.135
7.5,1114.6,0.135
7.5,1115.6,0.135
7.5,1116.6,0.135
7.5,1117.6,0.135
7.5,1118.6,0.135
7.5,1119.6,0.135
7.5,1121.6,0.135
7.5,1122.6,0.135
7.5,1123.6,0.135
7.5,1124.6,0.135
7.5,1125.6,0.135
7.5,1126.6,0.135
7.5,1127.7,0.135
7.5,1128.7,0.135
7.5,1129.7,0.135
7.5,1130.7,0.135
7.5,1131.7,0.135
7.5,1132.7,0.135
7.5,1133.7,0.135
7.5,1134.7,0.1307
7.5,1135.7,0.1307
7.5,1136.7,0.1307
7.5,1137.7,0.1307
7.5,1138.7,0.1307
7.5,1139.7,0.1307
7.5,1141.8,0.1307
7.5,1142.8,0.1307
7.5,1143.8,0.1307
7.5,1144.8,0.1307
7.5,1145.8,0.1307
7.5,1146.8,0.1307
7.5,1147.8,0.1307
7.5,1148.9,0.1307
7.5,1149.9,0.1307
7.5,1150.9,0.1307
7.5,1151.9,0.1307
7.5,1152.9,0.1307
7.5,1153.9,0.1307
7.5,1155,0.1316
7.5,1156,0.1316
7.5,1157,0.1316
7.5,1158,0.1316
7.5,1159,0.1316
7.5,1160,0.1316
7.5,1162.1,0.1316
7.5,1163.1,0.1316
7.5,1164.1,0.1316
7.5,1165.1,0.1316
7.5,1166.1,0.1316
7.5,1167.1,0.1316
7.5,1168.2,0.1316
7.5,1169.2,0.1316
7.5,1170.2,0.1316
7.5,1171.2,0.1316
7.5,1172.2,0.1316
7.5,1173.2,0.1316
7.5,1174.3,0.1316
7.5,1175.3,0.1358
7.5,1176.3,0.136
7.5,1177.3,0.1358
7.5,1178.3,0.1358
7.5,1179.3,0.1358
7.5,1180.4,0.1358
7.5,1182.4,0.1358
7.5,1183.4,0.1358
7.5,1184.4,0.1358
7.5,1185.4,0.1358
7.5,1186.4,0.1358
7.5,1187.4,0.1358
7.5,1188.5,0.136
7.5,1189.5,0.1358
7.5,1190.5,0.1358
7.5,1191.5,0.1358
7.5,1192.5,0.1358
7.5,1193.5,0.1358
7.5,1194.6,0.1358
7.5,1195.6,0.1358
7.5,1196.6,0.1358
